title,authors,year,time_period,species,pesticide,pesticide_type
Honeybee gut microbiota dysbiosis in pesticide/parasite co-exposures is mainly induced by Nosema ceranae,"Paris et al., 2020",2020,recent,Apis mellifera,Fipronil,Insecticide
Honeybee gut microbiota dysbiosis in pesticide/parasite co-exposures is mainly induced by Nosema ceranae,"Paris et al., 2020",2020,recent,Apis mellifera,Thiamethoxam,Insecticide
Imidacloprid Decreases Honey Bee Survival Rates but Does Not Affect the Gut Microbiome,"Raymann et al., 2018",2018,recent,Apis mellifera,Imidacloprid,Insecticide
The direct and indirect effects of environmental toxicants on the health of bumble bees and their microbiomes.,"Rothman et al., 2020",2020,recent,Bombus impatiens,Imidacloprid,Insecticide
The honeybee gut microbiota is altered after chronic exposure to different families of insecticides and infection by Nosema ceranae,"Rouze et al., 2019",2019,recent,Apis mellifera,Coumaphos,Insecticide
The honeybee gut microbiota is altered after chronic exposure to different families of insecticides and infection by Nosema ceranae,"Rouze et al., 2019",2019,recent,Apis mellifera,Fipronil,Insecticide
The honeybee gut microbiota is altered after chronic exposure to different families of insecticides and infection by Nosema ceranae,"Rouze et al., 2019",2019,recent,Apis mellifera,Imidacloprid,Insecticide
The honeybee gut microbiota is altered after chronic exposure to different families of insecticides and infection by Nosema ceranae,"Rouze et al., 2019",2019,recent,Apis mellifera,Thiamethoxam,Insecticide
Field-level clothianidin exposure affects bumblebees but generally not their pathogens,"Wintermantel et al., 2018",2018,recent,Bombus terrestris,Clothianidin,Insecticide
"Effects of three common pesticides on survival, food consuption and midgut bacterial communities of adult workers Apis cerana and Apis mellifera","Yang et al., 2019",2019,recent,Apis mellifera,Amitraz,Insecticide
"Effects of three common pesticides on survival, food consuption and midgut bacterial communities of adult workers Apis cerana and Apis mellifera","Yang et al., 2019",2019,recent,Apis mellifera,Clorpyrifos,Insecticide
"Effects of three common pesticides on survival, food consuption and midgut bacterial communities of adult workers Apis cerana and Apis mellifera","Yang et al., 2019",2019,recent,Apis cerana,Amitraz,Insecticide
"Effects of three common pesticides on survival, food consuption and midgut bacterial communities of adult workers Apis cerana and Apis mellifera","Yang et al., 2019",2019,recent,Apis cerana,Clorpyrifos,Insecticide
Nitenpyram disturbs gut microbiota and influences metabolic homeostasis and immunity in honey bee (Apis mellifera L.),"Zhu et al., 2020",2020,recent,Apis mellifera,Nitenpyram,Insecticide
