Author,Year,Data Source,Pesticide,Pesttype,Duration,Concentration,Kingdom,Phylum,Class,Order,Family,Genus,Species,Original Species Provided,Core,Control,Treatment,Percent Change,Log2fold.change,All.Logs,result,Type,Sig,Extra Information About Effect Size,,,
Jones et al ,2018,Fig. 2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,,N,6.417322835,0,-1.0000000000,,-50,Decrease,Comp,All,,,,
Liu et al ,2019,Fig. S3F,Thiacloprid,Insecticide,13 days,2.0 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Bombella,Bombella apis,,N,25283950.62,0,-1.0000000000,,-50,Decrease,Noncomp,All,,,,
Liu et al ,2019,Fig. S3E,Thiacloprid,Insecticide,7 days,0.6 mg/L,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,11158536.59,0,-1.0000000000,,-50,Decrease,Noncomp,All,,,,
Motta et al ,2020b,Fig. S1E,Glyphosate,Herbicide,10 days,0.01mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,0.176100629,0,-1.0000000000,,-50,Decrease,Comp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1Q,Glyphosate,Herbicide,5 days,0.01mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,6.59E-15,0,-1.0000000000,,-50,Decrease,Comp,All,Late exposure,,,
Motta et al ,2020b,Fig. S1Q,Glyphosate,Herbicide,5 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,6.59E-15,0,-1.0000000000,,-50,Decrease,Comp,All,Late exposure,,,
Motta et al ,2020b,Fig. S1H,Glyphosate,Herbicide,10 days,0.01mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,0,0.330275229,#DIV/0!,,50,Increase,Comp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1H,Glyphosate,Herbicide,10 days,0.04mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,0,1.431192661,#DIV/0!,,50,Increase,Comp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1H,Glyphosate,Herbicide,10 days,0.07mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,0,1.871559633,#DIV/0!,,50,Increase,Comp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1H,Glyphosate,Herbicide,10 days,0.1mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,0,0.330275229,#DIV/0!,,50,Increase,Comp,All,Early exposure,,,
Motta et al ,2020b,Fig. S1H,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,0,0.440366972,#DIV/0!,,50,Increase,Comp,All,Early exposure,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,,,N,6.7,0,-1.0000000000,,-50,Decrease,Comp,All,,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,,,,,N,3.3,0,-1.0000000000,,-50,Decrease,Comp,All,,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,,,,,,unclassified Bacteria,,Y,0,6.7,#DIV/0!,,50,Increase,Comp,All,,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,Firmicutes,,,,,unclassified Firmicutes,,Y,0,6.7,#DIV/0!,,50,Increase,Comp,All,,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,Proteobacteria,Gammaproteobacteria,,,,unclassified Gammaproteobacteria,,Y,0,13.3,#DIV/0!,,50,Increase,Comp,All,,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,unclassified Lactobacillales,,Y,0,3.3,#DIV/0!,,50,Increase,Comp,All,,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,Proteobacteria,,,,,unclassified Proteobacteria,,Y,0,3.3,#DIV/0!,,50,Increase,Comp,All,,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,,,,,Y,0,6.7,#DIV/0!,,50,Increase,Comp,All,,,,
Paris et al ,2020,Fig. S5,Boscalid,Fungicide,17 days,100 µg/L,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,,N,0,0.636267232,#DIV/0!,,50,Increase,Comp,All,DNA,,,
Paris et al ,2020,Fig. S5,Thiamethoxam,Insecticide,17 days,1.5 µg/L,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,,N,0,0.84835631,#DIV/0!,,50,Increase,Comp,All,DNA,,,
Raymann et al,2018,Fig. S1A,Imidacloprid,Insecticide,3 days,500 µg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,0.000266272,0.00E+00,-1.0000000000,,-50,Decrease,Comp,All,Day 0 post exposure,,,
Raymann et al,2018,Fig. S1A,Imidacloprid,Insecticide,3 days,500 µg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,5.91716E-05,0,-1.0000000000,,-50,Decrease,Comp,All,Day 3 post exposure,,,
Raymann et al,2018,Fig. S1B,Imidacloprid,Insecticide,3 days,500 µg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,35545.0237,0.00E+00,-1.0000000000,,-50,Decrease,Noncomp,All,Day 0 post exposure,,,
Raymann et al,2018,Fig. S1B,Imidacloprid,Insecticide,3 days,500 µg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,1777.251185,0,-1.0000000000,,-50,Decrease,Noncomp,All,Day 3 post exposure,,,
Raymann et al,2018,Fig. S1B,Imidacloprid,Insecticide,3 days,500 µg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,0,120261.4379,#DIV/0!,,50,Increase,Noncomp,All,Day 5 post exposure,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,15 days,1 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,0.019889503,0,-1.0000000000,,-50,Decrease,Comp,All,Apis cerana,,"Note: -48 and +45 are the largest values for increases and decreases without a NUM or DIV error. Therefore, increases from 0 (con = 0, treatment > 0) will be coded as +50, and decreases to zero (con > 0, treatment = 0) will be coded as -50",
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,15 days,1 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Saccharibacter,,,N,0.00441989,0,-1.0000000000,,-50,Decrease,Comp,All,Apis cerana,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,30 days,1 mg/L,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,N,0.022099448,0,-1.0000000000,,-50,Decrease,Comp,All,Apis cerana,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,30 days,1 mg/L,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,0.001104972,0,-1.0000000000,,-50,Decrease,Comp,All,Apis cerana,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,30 days,1 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,,,N,0.003314917,0,-1.0000000000,,-50,Decrease,Comp,All,Apis cerana,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,15 days,1 mg/L,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,0.002209945,0,-1.0000000000,,-50,Decrease,Comp,All,Apis cerana,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,15 days,1 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Saccharibacter,,,N,0.00441989,0,-1.0000000000,,-50,Decrease,Comp,All,Apis cerana,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,30 days,1 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,0.015469613,0,-1.0000000000,,-50,Decrease,Comp,All,Apis cerana,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,15 days,1 mg/L,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,N,0,0.002209945,#DIV/0!,,50,Increase,Comp,All,Apis cerana,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,15 days,1 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,,,N,0,0.007734807,#DIV/0!,,50,Increase,Comp,All,Apis mellifera,,,
Yang et al ,2019,Fig. 3E,Amitraz,Insecticide,15 days,1 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,,,N,0,0.006629834,#DIV/0!,,50,Increase,Comp,All,Apis mellifera,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,15 days,1 mg/L,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,N,0,0.00441989,#DIV/0!,,50,Increase,Comp,All,Apis cerana,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,15 days,1 mg/L,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,N,0,0.002209945,#DIV/0!,,50,Increase,Comp,All,Apis mellifera,,,
Yang et al ,2019,Fig. 3E,Chlorpyrifos,Insecticide,30 days,1 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,,,N,0,0.00441989,#DIV/0!,,50,Increase,Comp,All,Apis cerana,,,
Motta et al ,2020b,Fig. S1Q,Glyphosate,Herbicide,5 days,0.07mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,6.59E-15,0.245098039,37180272714353.900,,45.07960259,Increase,Comp,All,Late exposure,,,
Motta et al ,2020b,Fig. S2G,Glyphosate,Herbicide,10 days,0.04mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,1.020724845,458637.8926,449324.6872230020,,18.77740202,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S2G,Glyphosate,Herbicide,10 days,0.07mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,1.020724845,405525.1722,397290.3700277440,,18.59983793,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020a,Fig. S4L,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,,N,0.003712105,971.2740198,261649.4698748820,,17.99728132,Increase,Noncomp,All,Week 3,,,
Motta et al ,2020b,Fig. S2G,Glyphosate,Herbicide,10 days,0.1mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,1.020724845,171337.7292,167857.8798672660,,17.35688933,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S2G,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,1.020724845,156229.8155,153056.7179594800,,17.22371627,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S2G,Glyphosate,Herbicide,10 days,0.01mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,1.020724845,146905.4345,143921.6596154810,,17.13493423,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020b,Fig. S2O,Glyphosate,Herbicide,5 days,0.07mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,1,6.34E+04,63390.4165778580,,15.95199989,Increase,Noncomp,All,Late exposure,,,
Motta et al ,2020a,Fig. S6I,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,0.075485337,2324.942485,30798.9221176011,,14.91063908,Increase,Noncomp,All,Week 3,,,
Motta et al ,2020a,Fig. S4K,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Fructobacillus,,,N,0.00354543,19.26496445,5432.7460531877,,12.40773143,Increase,Noncomp,All,Week 4,,,
Motta et al ,2020a,Fig. S6I,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,0.075485337,373.6965462,4949.5846231124,,12.27338319,Increase,Noncomp,All,Week 3,,,
Motta et al ,2020a,Fig. S6I,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,24.08127013,119216.3656,4949.5846231124,,12.27338319,Increase,Noncomp,All,Week 7,,,
Motta et al ,2020a,Fig. S6I,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,24.08127013,111122.378,4613.4732996188,,12.17195027,Increase,Noncomp,All,Week 7,,,
Motta et al ,2020a,Fig. S4H,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,0.129526774,460.1732277,3551.7266826244,,11.79471099,Increase,Noncomp,All,Week 7,,,
Motta et al ,2020a,Fig. S6I,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,160.7336734,453407.3433,2819.8609537969,,11.46191984,Increase,Noncomp,All,Week 1,,,
Motta et al ,2020a,Fig. S6I,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,160.7336734,147210.5486,914.8662620751,,9.838993136,Increase,Noncomp,All,Week 1,,,
Motta et al ,2020a,Fig. S5I,Roundup,Herbicide formulation,4 weeks,0.001%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,,N,1735.178917,985014.4985,566.6731596131,,9.14891672,Increase,Noncomp,All,Week 3,,,
Motta et al ,2020a,Fig. S6F,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,515.5018353,270180.9201,523.1124309112,,9.033732517,Increase,Noncomp,All,Week 7,,,
Motta et al ,2020a,Fig. S6I,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,0.075485337,39.39307177,520.8638956603,,9.027529785,Increase,Noncomp,All,Week 3,,,
Motta et al ,2020a,Fig. S6F,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,515.5018353,252858.5818,489.5095666007,,8.938137464,Increase,Noncomp,All,Week 7,,,
Motta et al ,2020a,Fig. S6I,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,160.7336734,55012.07359,341.2560588399,,8.418932271,Increase,Noncomp,All,Week 1,,,
Motta et al ,2020b,Fig. S2G,Glyphosate,Herbicide,15 days,0.07mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,2529.985546,822938.6945,324.2740695268,,8.345512007,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020a,Fig. S6I,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,0.075485337,22.44631422,296.3599278743,,8.216066433,Increase,Noncomp,All,Week 3,,,
Motta et al ,2020a,Fig. S4K,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Fructobacillus,,,N,43.8918722,11647.29742,264.3634223671,,8.051825713,Increase,Noncomp,All,Week 3,,,
Motta et al ,2020b,Fig. S2G,Glyphosate,Herbicide,15 days,0.04mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,2529.985546,326946.4414,128.2285807168,,7.013781367,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020a,Fig. S6I,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,24.08127013,2870.881503,118.2163655888,,6.897438487,Increase,Noncomp,All,Week 7,,,
Motta et al ,2020b,Fig. S2G,Glyphosate,Herbicide,15 days,0.1mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,2529.985546,289084.2952,113.2632200643,,6.836217282,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020a,Fig. S6I,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,27.71711933,3079.992212,110.1223780155,,6.796005568,Increase,Noncomp,All,Week 4,,,
Motta et al ,2020b,Fig. S2G,Glyphosate,Herbicide,15 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,2529.985546,187906.6256,73.2718178111,,6.214742984,Increase,Noncomp,All,Early exposure,,,
Raymann et al,2018,Fig. S1A,Imidacloprid,Insecticide,3 days,500 µg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,2.33E-04,1.53E-02,65.0000000000,,6.044394119,Increase,Comp,All,Day 0 post exposure,,,
Motta et al ,2020a,Fig. S5F,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella apis,,N,210770.3534,13010252.17,60.7271450008,,5.94783316,Increase,Noncomp,All,Week 4,,,
Motta et al ,2020b,Fig. S2G,Glyphosate,Herbicide,15 days,0.01mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,2529.985546,146905.4345,57.0657208394,,5.859614813,Increase,Noncomp,All,Early exposure,,,
Motta et al ,2020a,Fig. S5C,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,13795.1373,724893.1112,51.5470022703,,5.715536558,Increase,Noncomp,All,Week 7,,,
Motta et al ,2020a,Fig. S5C,Roundup,Herbicide formulation,4 weeks,0.001%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,13795.1373,655297.2662,46.5020474090,,5.569917792,Increase,Noncomp,All,Week 7,,,
Motta et al ,2020a,Fig. S5F,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella apis,,N,104483.4776,4346055.2,40.5956216307,,5.378359773,Increase,Noncomp,All,Week 3,,,
Motta et al ,2020a,Fig. S5F,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella apis,,N,67386.27168,2351952.635,33.9025487896,,5.125260489,Increase,Noncomp,All,Week 1,,,
Motta et al ,2020b,Fig. S1H,Glyphosate,Herbicide,15 days,0.04mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,1.10E-01,3.19266055,28.0000000000,,4.857980995,Increase,Comp,All,Early exposure,,,
Motta et al ,2020a,Fig. S6F,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.10%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,515.5018353,14637.52419,27.3947082055,,4.827550181,Increase,Noncomp,All,Week 7,,,
Motta et al ,2020a,Fig. S5F,Roundup,Herbicide formulation,4 weeks,0.001%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella apis,,N,104483.4776,2802973.86,25.8269579528,,4.745611564,Increase,Noncomp,All,Week 3,,,
Motta et al ,2020b,Fig. S1H,Glyphosate,Herbicide,15 days,0.07mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,1.10E-01,2.862385321,25.0000000000,,4.700439718,Increase,Comp,All,Early exposure,,,
Motta et al ,2020a,Fig. S6C,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,37436.775,886429.0475,22.6780290875,,4.565477094,Increase,Noncomp,All,Week 1,,,
Motta et al ,2020a,Fig. S6G,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,43051.36522,1015163.391,22.5802833589,,4.55950915,Increase,Noncomp,All,Week 3,,,
Motta et al ,2020a,Fig. S6F,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,515.5018353,11998.76895,22.2758995793,,4.540765022,Increase,Noncomp,All,Week 7,,,
Motta et al ,2020a,Fig. S6C,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,37436.775,870543.698,22.2537043552,,4.539388653,Increase,Noncomp,All,Week 1,,,
Zhu et al ,2020,Fig. 2C,Nitenpyram,Insecticide,14 days,300 µg/kg,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,0.509164969,11.13374067,20.8666666667,,4.450661409,Increase,Comp,All,,,,
Motta et al ,2020a,Fig. S6C,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,37436.775,809798.4914,20.6310964627,,4.435034891,Increase,Noncomp,All,Week 1,,,
